,0
0,www.cnn.com
1,www.youtube.com
2,www.wsj.com
3,www.foxnews.com
4,www.espn.com
5,www.theguardian.co.uk
6,www.cnn.com
7,www.youtube.com
8,www.wsj.com
9,www.foxnews.com
10,www.espn.com
11,www.theguardian.co.uk
12,www.cnn.com
13,www.youtube.com
14,www.wsj.com
15,www.foxnews.com
16,www.espn.com
17,www.theguardian.co.uk
18,www.cnn.com
19,www.youtube.com
20,www.wsj.com
21,www.foxnews.com
22,www.espn.com
23,www.theguardian.co.uk
24,www.cnn.com
25,www.youtube.com
26,www.wsj.com
27,www.foxnews.com
28,www.espn.com
29,www.theguardian.co.uk
30,www.cnn.com
31,www.youtube.com
32,www.wsj.com
33,www.foxnews.com
34,www.espn.com
35,www.theguardian.co.uk
36,www.cnn.com
37,www.youtube.com
38,www.wsj.com
39,www.foxnews.com
40,www.espn.com
41,www.theguardian.co.uk
42,www.cnn.com
43,www.youtube.com
44,www.wsj.com
45,www.foxnews.com
46,www.espn.com
47,www.theguardian.co.uk
48,www.cnn.com
49,www.youtube.com
50,www.wsj.com
51,www.foxnews.com
52,www.espn.com
53,www.theguardian.co.uk
54,www.cnn.com
55,www.youtube.com
56,www.wsj.com
57,www.foxnews.com
58,www.espn.com
59,www.theguardian.co.uk
60,www.cnn.com
61,www.youtube.com
62,www.wsj.com
63,www.foxnews.com
64,www.espn.com
65,www.theguardian.co.uk
66,www.cnn.com
67,www.youtube.com
68,www.wsj.com
69,www.foxnews.com
70,www.espn.com
71,www.theguardian.co.uk
72,www.cnn.com
73,www.youtube.com
74,www.wsj.com
75,www.foxnews.com
76,www.espn.com
77,www.theguardian.co.uk
78,www.cnn.com
79,www.youtube.com
80,www.wsj.com
81,www.foxnews.com
82,www.espn.com
83,www.theguardian.co.uk
84,www.cnn.com
85,www.youtube.com
86,www.wsj.com
87,www.foxnews.com
88,www.espn.com
89,www.theguardian.co.uk
90,www.cnn.com
91,www.youtube.com
92,www.wsj.com
93,www.foxnews.com
94,www.espn.com
95,www.theguardian.co.uk
96,www.cnn.com
97,www.youtube.com
98,www.wsj.com
99,www.foxnews.com
100,www.espn.com
101,www.theguardian.co.uk
102,www.cnn.com
103,www.youtube.com
104,www.wsj.com
105,www.foxnews.com
106,www.espn.com
107,www.theguardian.co.uk
108,www.cnn.com
109,www.youtube.com
110,www.wsj.com
111,www.foxnews.com
112,www.espn.com
113,www.theguardian.co.uk
114,www.cnn.com
115,www.youtube.com
116,www.wsj.com
117,www.foxnews.com
118,www.espn.com
119,www.theguardian.co.uk
120,www.cnn.com
121,www.youtube.com
122,www.wsj.com
123,www.foxnews.com
124,www.espn.com
125,www.theguardian.co.uk
